method,n,d,runtime_mean,runtime_std
AIME,500,20,0.0006361806687588493,0.00020642540171822923
AIME,500,100,0.00304244466436406,0.0008034499898779538
AIME,500,300,0.01596280567658444,0.0006655541565613488
AIME,1000,20,0.0006413053294333319,8.680915447070759e-05
AIME,1000,100,0.0025746666748697558,0.00010374562513514014
AIME,1000,300,0.01664727765213077,0.0005909327803983672
AIME,2000,20,0.0007169166929088533,5.667297960024828e-05
AIME,2000,100,0.0031960693498452506,0.00034059708839089225
AIME,2000,300,0.018460708340474714,0.00031953669857080275
AIME,4000,20,0.0010836249954688053,0.00014214505416252065
AIME,4000,100,0.004148486031529804,8.51985605283022e-05
AIME,4000,300,0.022529847667707752,0.0006057912882801216
HuberAIME,500,20,0.0007793333109778663,0.00026056373804358773
HuberAIME,500,100,0.0028337500019309423,0.0003163859061492158
HuberAIME,500,300,0.0176009163648511,0.0005584714269470307
HuberAIME,1000,20,0.001626472008259346,0.00025676214296093764
HuberAIME,1000,100,0.003125638992059976,0.0002924615644233006
HuberAIME,1000,300,0.018297652655746788,0.00020692071208608474
HuberAIME,2000,20,0.0024990273329118886,0.0005681114214744661
HuberAIME,2000,100,0.00962884733841444,0.001397852154039114
HuberAIME,2000,300,0.021685125345053773,0.0006071668799727512
HuberAIME,4000,20,0.003769513995697101,0.0002603989747968974
HuberAIME,4000,100,0.015595416674235215,0.0005659241598546785
HuberAIME,4000,300,0.07827727766319488,0.014706539106394653
HuberRidgeAIME,500,20,0.0007113336857097844,0.00010978361447367243
HuberRidgeAIME,500,100,0.0029367916480017207,0.00021541421491961705
HuberRidgeAIME,500,300,0.01768084733824556,0.000820531050119886
HuberRidgeAIME,1000,20,0.0018548886679733794,0.0007352386148032769
HuberRidgeAIME,1000,100,0.0030613053434838853,0.00016042838175735717
HuberRidgeAIME,1000,300,0.018807235988788307,0.000356754382026752
HuberRidgeAIME,2000,20,0.003006888999758909,0.0008478665385774083
HuberRidgeAIME,2000,100,0.009626346989534795,0.0014135194503449079
HuberRidgeAIME,2000,300,0.02137738896999508,0.00036297115363759035
HuberRidgeAIME,4000,20,0.0037249583207691708,6.648659661874753e-05
HuberRidgeAIME,4000,100,0.01600758298688258,0.000920085773279609
HuberRidgeAIME,4000,300,0.07692916666079934,0.014533937758482683
RidgeAIME,500,20,0.0005895003365973631,0.00011926954898223885
RidgeAIME,500,100,0.0023869306508762143,0.00018443336121671115
RidgeAIME,500,300,0.016174152648697298,5.060600632055891e-05
RidgeAIME,1000,20,0.000582499992257605,6.27249346016659e-05
RidgeAIME,1000,100,0.0027928053556631007,0.00019700016672383086
RidgeAIME,1000,300,0.016695139017732192,1.9411424669703555e-05
RidgeAIME,2000,20,0.0006199306614386538,3.736493736254609e-06
RidgeAIME,2000,100,0.003378180651149402,0.00034380913988942067
RidgeAIME,2000,300,0.018639874974420916,0.00019694500143341406
RidgeAIME,4000,20,0.0008348883517707387,3.495268014204573e-05
RidgeAIME,4000,100,0.004212027667866399,9.474412843473426e-05
RidgeAIME,4000,300,0.022354180672361206,0.0008312015713036868
