pipeline_version,dataset,learner,repeat,condition,method,outlier_rate,clone_frac,n_outlier_rows,n_clones,d_original,d_total,model_fit_time_sec,model_test_accuracy,explain_time_sec,added_clone_mass,bootstrap_cosine,bootstrap_spearman,bootstrap_topk,noise_cosine,noise_spearman,noise_topk,implementation,error
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,clean,AIME,0.0,0.0,0,0,30,30,1.141640790970996,0.9590643274853801,0.00026287499349564314,0.0,0.9909189395270088,0.9563515016685205,0.8575757575757577,0.999914882339012,0.9983685576566556,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,clean,HuberAIME,0.0,0.0,0,0,30,30,1.141640790970996,0.9590643274853801,0.0006452500820159912,0.0,0.9897142937715628,0.9745494994438262,0.8212121212121213,0.9999041805509138,0.9992584352984797,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,clean,RidgeAIME,0.0,0.0,0,0,30,30,1.141640790970996,0.9590643274853801,0.00016570906154811382,0.0,0.9909186061509878,0.9563515016685205,0.8575757575757577,0.9999148884126888,0.9983685576566556,0.9393939393939394,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,clean,HuberRidgeAIME,0.0,0.0,0,0,30,30,1.141640790970996,0.9590643274853801,0.0006007089978083968,0.0,0.989713933080609,0.9745494994438262,0.8212121212121213,0.9999041873169722,0.9992584352984797,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,clean,LIME,0.0,0.0,0,0,30,30,1.141640790970996,0.9590643274853801,0.048115040990523994,0.0,0.9991635625636809,0.9575973303670745,0.9818181818181818,0.9970499218886322,0.8481275491286615,0.8787878787878789,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,clean,SHAP_TreeSHAP,0.0,0.0,0,0,30,30,1.141640790970996,0.9590643274853801,0.0017802910879254341,0.0,0.9910941040760044,0.9842491657397107,0.9818181818181818,0.9999182935936944,0.9989618094178718,1.0,LightGBM native TreeSHAP pred_contrib=True,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,joint_high_stress,AIME,0.1,0.5,57,15,30,45,1.163838625070639,0.9473684210526315,0.00024970900267362595,0.35377958443239926,0.9486946737855082,0.8739525691699603,0.6346986346986347,0.9998196937833592,0.9978919631093542,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,joint_high_stress,HuberAIME,0.1,0.5,57,15,30,45,1.163838625070639,0.9473684210526315,0.0006777499802410603,0.3530925629704796,0.9871826962565127,0.9658761528326745,0.8689976689976688,0.9997521235650658,0.9984189723320157,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,joint_high_stress,RidgeAIME,0.1,0.5,57,15,30,45,1.163838625070639,0.9473684210526315,0.0001667920732870698,0.35378005451731165,0.9486938678799641,0.8739525691699603,0.6346986346986347,0.9998196969786624,0.9978919631093542,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,joint_high_stress,HuberRidgeAIME,0.1,0.5,57,15,30,45,1.163838625070639,0.9473684210526315,0.0007096660556271672,0.3530922561130111,0.987181982289488,0.9658761528326745,0.8689976689976688,0.999752126093648,0.9984189723320157,1.0,equation-consistent inverse map,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,joint_high_stress,LIME,0.1,0.5,57,15,30,45,1.163838625070639,0.9473684210526315,0.0531900420319289,0.19832697540522293,0.9971059177197349,0.920619235836627,0.9636363636363636,0.9944451706174243,0.7264382960035133,0.9393939393939394,lime.lime_tabular.LimeTabularExplainer,
r5_final_inverse_map_complete_2026-08-31,breast_cancer,lgbm,0,joint_high_stress,SHAP_TreeSHAP,0.1,0.5,57,15,30,45,1.163838625070639,0.9473684210526315,0.0020993329817429185,0.2358653693695831,0.9942478226455813,0.9732279314888009,0.9818181818181818,0.9991462762488909,0.9975845410628018,1.0,LightGBM native TreeSHAP pred_contrib=True,
