pipeline_version,experiment_mode,subset,metric,role,direction,n_repeated_pairs,n_condition_clusters,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge_cluster_mean,CI95_low,CI95_high,median_cluster_difference,wilcoxon_p_on_cluster_means
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,clean_target_reconstruction_r2,clean-target inverse reconstruction,higher is better,162,54,0.28162710386038753,0.2525973759813523,0.029029727879035197,0.023388290459566734,0.03537495418550294,0.024025915663221244,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,clean_target_reconstruction_cosine,clean-target inverse reconstruction,higher is better,162,54,0.49905216122921753,0.47614926932986895,0.022902891899348618,0.018631279617082386,0.027412357870328218,0.016951158622079084,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,operator_cosine_flat,clean-reference operator recovery,higher is better,162,54,0.9873175712504264,0.9392627614914062,0.04805480975902005,0.03587436899026696,0.06143570164842959,0.02801477343816392,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,operator_spearman_global,clean-reference operator recovery,higher is better,162,54,0.9504336416956204,0.8687398682213823,0.08169377347423808,0.06216910286506481,0.10339322903801501,0.05235014070637754,8.077834449121765e-10
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,operator_topk_jaccard,clean-reference operator recovery,higher is better,162,54,0.6913687331070659,0.47880785651683483,0.212560876590231,0.1753135246008053,0.24920318886607157,0.22940022940022947,4.934587223354915e-10
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,bootstrap_cosine_flat,self-consistency/stability,higher is better,162,54,0.9711964938400606,0.9370338488874229,0.03416264495263759,0.02763378125248902,0.041090600577486536,0.02819646582354161,1.6256984569330967e-10
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,irrelevant_decoy_mass_ratio,irrelevant-decoy attribution,lower is better,162,54,0.015694064744696142,0.019585036659407452,-0.0038909719147113063,-0.0051230494141082964,-0.0027567311963394956,-0.0032483570423481145,1.905938443725721e-09
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,irrelevant_decoy_topk_infiltration,irrelevant-decoy attribution,lower is better,162,54,0.006584362139917697,0.023868312757201644,-0.017283950617283952,-0.02592592592592593,-0.009465020576131689,0.0,0.0002254542492507092
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,clone_mass_ratio,correlated-clone attribution redistribution,descriptive,162,54,0.1559813428886766,0.15693520408818806,-0.0009538611995114437,-0.002912335263829488,0.0010494392721283313,0.0,0.3458678890150303
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,clone_topk_infiltration,correlated-clone attribution redistribution,descriptive,162,54,0.09760435038212815,0.0986713697824809,-0.001067019400352735,-0.007335501175778953,0.004986845972957081,0.0,0.6304027648002162
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,log10_cond_reg,conditioning diagnostic,lower is better,162,54,0.33391871252846494,0.31909724981280757,0.014821462715657365,0.007326932991087666,0.023034416023453387,0.010044787331344954,0.0002939244073295942
r5_final_inverse_map_complete_2026-08-31,end_to_end_original_stress,all_outlier_present,log10_coef_norm,regularization diagnostic,diagnostic only,162,54,1.0211151001698784,1.0602110062187804,-0.03909590604890201,-0.049040188157940395,-0.029680539424489866,-0.02281915597596653,6.498805474855472e-10
