pipeline_version,outlier_rate,metric,n_generated_cells,HRA_mean,RidgeAIME_mean,HRA_minus_Ridge,CI95_low,CI95_high,wilcoxon_p
r5_final_inverse_map_complete_2026-08-31,0.0,support_average_precision,60,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,f1_at_k,60,1.0,1.0,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,truth_cosine,60,0.9991847375572879,0.9991847375572879,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,truth_spearman,60,0.5205930288720461,0.5205930288720461,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,sign_agreement_relevant,60,0.9977777777777778,0.9977777777777778,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,clean_target_reconstruction_r2,60,0.5695974792227223,0.5695974792227223,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,clean_target_reconstruction_cosine,60,0.9593788607368477,0.9593788607368477,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.0,log10_coef_norm,60,0.6856415388089185,0.6856415388089185,0.0,0.0,0.0,1.0
r5_final_inverse_map_complete_2026-08-31,0.05,support_average_precision,60,0.9999999999999999,0.8718818247534249,0.12811817524657512,0.08139956123616729,0.17896316646323246,5.597410005700974e-06
r5_final_inverse_map_complete_2026-08-31,0.05,f1_at_k,60,1.0,0.8350000000000001,0.16499999999999998,0.11162500000000034,0.22166666666666668,5.010872327182884e-06
r5_final_inverse_map_complete_2026-08-31,0.05,truth_cosine,60,0.9818106588839284,0.7875274717272831,0.19428318715664553,0.16182930332899967,0.22839537823365735,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.05,truth_spearman,60,0.5205749707353199,0.49762307895648733,0.02295189177883273,0.014184224550300323,0.03245404970521828,2.3711560806049896e-11
r5_final_inverse_map_complete_2026-08-31,0.05,sign_agreement_relevant,60,0.9816666666666668,0.9250000000000002,0.05666666666666664,0.04444444444444443,0.06944444444444443,3.6743074509023224e-09
r5_final_inverse_map_complete_2026-08-31,0.05,clean_target_reconstruction_r2,60,0.535990305083477,-0.19216423808509217,0.7281545431685691,0.617557395532924,0.8436815586590617,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.05,clean_target_reconstruction_cosine,60,0.9585055793633631,0.9004296774317732,0.05807590193158996,0.054618822099081595,0.061759383704480635,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.05,log10_coef_norm,60,0.6941353499069577,0.8099610739334292,-0.11582572402647152,-0.14033105259797174,-0.09298282595749882,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.1,support_average_precision,60,0.9999999999999999,0.8193919274432855,0.1806080725567146,0.12183388401494476,0.24380490794229506,3.65104491490634e-07
r5_final_inverse_map_complete_2026-08-31,0.1,f1_at_k,60,1.0,0.78,0.21999999999999995,0.15499999999999994,0.2883333333333332,3.3344558612247666e-07
r5_final_inverse_map_complete_2026-08-31,0.1,truth_cosine,60,0.965923335555149,0.7092096781461315,0.2567136574090176,0.22431612233739884,0.2904090241864921,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.1,truth_spearman,60,0.5205457703440183,0.4762414766414725,0.044304293702545836,0.02865553985567357,0.06138903922672773,1.6267450251745625e-11
r5_final_inverse_map_complete_2026-08-31,0.1,sign_agreement_relevant,60,0.9750000000000002,0.9161111111111111,0.05888888888888887,0.04444444444444443,0.07444444444444444,5.3513705927520235e-09
r5_final_inverse_map_complete_2026-08-31,0.1,clean_target_reconstruction_r2,60,0.5100104922687071,-0.905554698064155,1.415565190332862,1.197589115205848,1.6432771165989537,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.1,clean_target_reconstruction_cosine,60,0.9537112458534871,0.8457245035976096,0.10798674225587754,0.10029910624526968,0.11644464686241503,1.629555794311934e-11
r5_final_inverse_map_complete_2026-08-31,0.1,log10_coef_norm,60,0.7026710964654573,0.8753697444938272,-0.17269864802836976,-0.2031205895604129,-0.14338541057611154,1.629555794311934e-11
